"","libgeo","taux_pvt.total","taux_chom_bit.total","taux_emp.total","ecart_tx_emp_f_h.total","sal_hor_net_femme.ens","sal_hor_net_homme.ens","part_tps_partiel","part_chomeurs_ld","niveau_vie_median","part_foy_fisc_impos","revenu_decl_median","esper_vie.femme","esper_vie.homme","part_20_24_sortis_nondip","taux_mort_infant","part_pop75","pop.f_15_24","taux_lgmt_suroccupes","log_hlm_tot","part_pls","part_log.vac","qualair_NO2.moyanmax_dep","med_dist_km.act","part_critair_1_0_vp","couv4g","apl_medgen_moins65","part_apa_plus75","nb_crea_etablissements","part_emp_ess","deces_femme_cancer"
"86","Vendée","9.1","5.9","70.12","-5.20999999999999","12.4613439240763","14.5314781321876","17.2","36.1","22790","50.2","22510","85.6","79.5","11.48","2.4","11.44","32252","1.31","24256","7.7","4.96","54","10.3","22.38","100","2.95317539942439","17.6","8155","13.16","935"
"87","Vienne","14.7","6.3","64.84","-3.02999999999999","12.8656237949018","14.8557101980537","18.18","39.07","22220","48.8","21890","85.5","79.8","13.65","3.1","10.95","29937","1.96","25828","12.44","9.36","49","9.9","22.59","99.8","3.84214736722966","17.16","5024","13.04","532"
"88","Haute-Vienne","16.1","7","64.59","-3.92","13.1027521584496","14.7955783709361","16.33","44.13","22140","49","21870","85.8","79.1","15.91","4.5","12.32","22357","1.92","26244","14.25","9.63","53","6.1","24.24","99.7","3.9045201775149","20.45","4748","8.17","455"
"89","Vosges","15.3","8.2","64.9","-5.26000000000001","12.5114961593396","14.7025896608056","17.5","48.52","21550","46.3","21170","83.9","77.2","16.16","2.7","11.45","17217","1.43","24294","14.29","10.98","41","9","22.64","98","3.30961113174071","22.19","3766","11.59","548"
"90","Yonne","14.9","7.1","65.91","-4.21000000000001","12.8270374706044","14.7495684454379","15.79","43.41","21940","50.2","21590","84.2","77.4","20.95","3.2","11.61","14747","2.41","20929","13.59","11.82","49","9.8","20.24","99.4","2.26994333256812","12.35","3919","10.36","431"
"91","Territoire de Belfort","16.3","9","63.96","-5.57","13.6729478985345","17.2379050682728","18.45","42.5","22920","53.3","22840","84","79.1","17.88","5.7","9.49","7307","2.04","14223","22.04","10.64","59","7.8","28.52","98.9","3.11064328760907","12.28","1640","12.14","147"
"92","Essonne","13.9","6.9","68.25","-4.64","16.5436975482862","18.7230403615922","12.77","40.2","25040","64.7","25310","85.4","80.6","17.17","3.6","7.25","80256","8.23","127420","23.84","7.17","41","14.6","31.5","100","2.34526002810151","25.72","23499","7.74","1148"
"93","Hauts-de-Seine","12.4","6.6","71.14","-4.31999999999999","23.4403516624955","28.1373448476467","10.62","43.05","29720","70.4","31610","86.6","81.7","12.2","3.1","7.42","100077","10.48","203659","27.58","6.58","54","8.4","37.22","100","2.51918245721351","18.51","37995","5.82","1344"
"94","Seine-Saint-Denis","28.4","10.9","60.77","-8.00000000000001","14.9760899379941","14.9872829262552","12.63","47.18","19020","49.2","17470","84","78.4","20.82","5.3","5.18","108955","18.8","235058","35.98","6.06","49","8.8","23.81","100","2.69246254107861","16","39854","6.47","1013"
"95","Val-de-Marne","17.2","7.7","67.04","-4.09","17.9071400109775","19.5545430587186","12.94","43.49","24270","62.4","24450","86.3","80.6","14.7","4.5","7.15","91562","12.32","179474","29.42","5.83","53","9.3","33.82","100","2.89974033520767","13.27","29842","7.89","1141"
"96","Val-d'Oise","17.7","8.8","65.98","-6.76000000000001","16.2219785506328","17.5679789087863","13.46","42.98","23290","60.6","23070","84.8","79.6","17.58","4.5","6.09","78644","10.92","127457","26.02","6.02","41","15.3","28.4","100","2.22407783031747","25.88","24886","7.44","963"
"97","Martinique","26.8","17.2","51.84","-2.9","14.3064910095514","15.4699486042432","15.94","69.4","19770","36","18070","81.6","73.7","14.36","7.5","8.99","21963","7.58","37202","21.05","14.87","49","7.8","38.81","97.7","2.80173321330511","15.28","7377","9.84","382"
"98","La Réunion","36.1","12.9","56.9","-0.870000000000005","14.0054335182642","15.2934881681601","14.5","67.04","17070","31.1","14290","81.4","75","14.3","7.2","10.19","18881","7.41","34210","20.26","15.88","59","7.8","39.81","99.3","2.94421632793395","34.75","5626","10.93","434"
"99","Guadeloupe","10.8","14.5","44.11","-13.22","14.3614869399223","15.5465868537397","13.26","67.12","24810","55.2","24780","80","73.4","38.74","8.2","2.05","24113","31.38","19373","22.72","9.92","41","0","36.69","9.1","1.68859409265059","18.88","3116","8.42","88"
"100","Guyane","18.8","18","48.16","-8.12","13.2922036274882","14.1261726484218","19.49","65.15","20920","45.2","20200","83.6","77.4","21.09","6.6","5.17","58337","8.81","78957","22.68","8.56","54","7.3","25.21","92.7","4.57111127342808","27.34","11994","11.05","544"
"101","Mayotte","16.2","5.9","71.56","-6.92","13.7672110633504","16.4484543640253","16.18","35.4","21500","45.3","20860","72.7","70.5","14.6","9.2","8.36","32903","2.42","2076","3.29","8.08","49","10.9","31.32","99.2","2.50300500822518","23.71","2078","11.65","77"
